INFO 2025-11-15 01:03:01,004 autoreload Watching for file changes with StatReloader
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\supabase_service.py", line 18, in upload_image_to_supabase
    res = supabase.storage.from_(SUPABASE_BUCKET).upload(file_name, file_obj.read())
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\storage3\_sync\file_api.py", line 398, in upload
    return self._request(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\storage3\_sync\file_api.py", line 42, in _request
    response = self._client.request(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 814, in request
    return self.send(request, auth=auth, follow_redirects=follow_redirects)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 901, in send
    response = self._send_handling_auth(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 929, in _send_handling_auth
    response = self._send_handling_redirects(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 966, in _send_handling_redirects
    response = self._send_single_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 1002, in _send_single_request
    response = transport.handle_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 217, in handle_request
    with map_httpcore_exceptions():
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\contextlib.py", line 153, in __exit__
    self.gen.throw(typ, value, traceback)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 77, in map_httpcore_exceptions
    raise mapped_exc(message) from exc
httpx.ConnectError: [Errno 11001] getaddrinfo failed
ERROR 2025-11-16 00:59:58,631 basehttp "POST /api/events/ HTTP/1.1" 500 281341
ERROR 2025-11-16 01:00:53,502 log Internal Server Error: /api/events/
Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_exceptions.py", line 10, in map_exceptions
    yield
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_backends\sync.py", line 100, in connect_tcp
    sock = socket.create_connection(
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\socket.py", line 824, in create_connection
    for res in getaddrinfo(host, port, 0, SOCK_STREAM):
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\socket.py", line 955, in getaddrinfo
    for res in _socket.getaddrinfo(host, port, family, type, proto, flags):
socket.gaierror: [Errno 11001] getaddrinfo failed

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 60, in map_httpcore_exceptions
    yield
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 218, in handle_request
    resp = self._pool.handle_request(req)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection_pool.py", line 262, in handle_request
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection_pool.py", line 245, in handle_request
    response = connection.handle_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 92, in handle_request
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 69, in handle_request
    stream = self._connect(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 117, in _connect
    stream = self._network_backend.connect_tcp(**kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_backends\sync.py", line 99, in connect_tcp
    with map_exceptions(exc_map):
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\contextlib.py", line 153, in __exit__
    self.gen.throw(typ, value, traceback)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_exceptions.py", line 14, in map_exceptions
    raise to_exc(exc) from exc
httpcore.ConnectError: [Errno 11001] getaddrinfo failed

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\viewsets.py", line 125, in view
    return self.dispatch(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 515, in dispatch
    response = self.handle_exception(exc)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 475, in handle_exception
    self.raise_uncaught_exception(exc)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 486, in raise_uncaught_exception
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\views\events.py", line 157, in create
    response = super().create(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\mixins.py", line 19, in create
    self.perform_create(serializer)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\mixins.py", line 24, in perform_create
    serializer.save()
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\serializers.py", line 210, in save
    self.instance = self.create(validated_data)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\serializers.py", line 292, in create
    validated_data["image"] = upload_image_to_supabase(image_file, image_file.name)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\supabase_service.py", line 18, in upload_image_to_supabase
    res = supabase.storage.from_(SUPABASE_BUCKET).upload(file_name, file_obj.read())
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\storage3\_sync\file_api.py", line 398, in upload
    return self._request(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\storage3\_sync\file_api.py", line 42, in _request
    response = self._client.request(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 814, in request
    return self.send(request, auth=auth, follow_redirects=follow_redirects)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 901, in send
    response = self._send_handling_auth(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 929, in _send_handling_auth
    response = self._send_handling_redirects(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 966, in _send_handling_redirects
    response = self._send_single_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 1002, in _send_single_request
    response = transport.handle_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 217, in handle_request
    with map_httpcore_exceptions():
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\contextlib.py", line 153, in __exit__
    self.gen.throw(typ, value, traceback)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 77, in map_httpcore_exceptions
    raise mapped_exc(message) from exc
httpx.ConnectError: [Errno 11001] getaddrinfo failed
ERROR 2025-11-16 01:00:53,505 basehttp "POST /api/events/ HTTP/1.1" 500 281341
INFO 2025-11-16 01:07:02,091 basehttp "GET /api/events/ HTTP/1.1" 200 8584
INFO 2025-11-16 01:07:02,201 basehttp "GET /api/events/ HTTP/1.1" 200 8584
INFO 2025-11-16 01:08:57,526 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 450
INFO 2025-11-16 01:08:57,533 basehttp "GET /api/departments/ HTTP/1.1" 200 906
INFO 2025-11-16 01:08:57,541 basehttp "GET /api/cities/ HTTP/1.1" 200 1380
INFO 2025-11-16 01:08:57,607 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 450
INFO 2025-11-16 01:08:57,612 basehttp "GET /api/departments/ HTTP/1.1" 200 906
INFO 2025-11-16 01:08:57,620 basehttp "GET /api/cities/ HTTP/1.1" 200 1380
ERROR 2025-11-16 01:09:01,971 log Internal Server Error: /api/events/
Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_exceptions.py", line 10, in map_exceptions
    yield
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_backends\sync.py", line 100, in connect_tcp
    sock = socket.create_connection(
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\socket.py", line 824, in create_connection
    for res in getaddrinfo(host, port, 0, SOCK_STREAM):
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\socket.py", line 955, in getaddrinfo
    for res in _socket.getaddrinfo(host, port, family, type, proto, flags):
socket.gaierror: [Errno 11001] getaddrinfo failed

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 60, in map_httpcore_exceptions
    yield
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 218, in handle_request
    resp = self._pool.handle_request(req)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection_pool.py", line 262, in handle_request
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection_pool.py", line 245, in handle_request
    response = connection.handle_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 92, in handle_request
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 69, in handle_request
    stream = self._connect(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 117, in _connect
    stream = self._network_backend.connect_tcp(**kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_backends\sync.py", line 99, in connect_tcp
    with map_exceptions(exc_map):
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\contextlib.py", line 153, in __exit__
    self.gen.throw(typ, value, traceback)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_exceptions.py", line 14, in map_exceptions
    raise to_exc(exc) from exc
httpcore.ConnectError: [Errno 11001] getaddrinfo failed

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\viewsets.py", line 125, in view
    return self.dispatch(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 515, in dispatch
    response = self.handle_exception(exc)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 475, in handle_exception
    self.raise_uncaught_exception(exc)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 486, in raise_uncaught_exception
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\views\events.py", line 157, in create
    response = super().create(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\mixins.py", line 19, in create
    self.perform_create(serializer)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\mixins.py", line 24, in perform_create
    serializer.save()
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\serializers.py", line 210, in save
    self.instance = self.create(validated_data)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\serializers.py", line 292, in create
    validated_data["image"] = upload_image_to_supabase(image_file, image_file.name)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\supabase_service.py", line 18, in upload_image_to_supabase
    res = supabase.storage.from_(SUPABASE_BUCKET).upload(file_name, file_obj.read())
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\storage3\_sync\file_api.py", line 398, in upload
    return self._request(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\storage3\_sync\file_api.py", line 42, in _request
    response = self._client.request(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 814, in request
    return self.send(request, auth=auth, follow_redirects=follow_redirects)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 901, in send
    response = self._send_handling_auth(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 929, in _send_handling_auth
    response = self._send_handling_redirects(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 966, in _send_handling_redirects
    response = self._send_single_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 1002, in _send_single_request
    response = transport.handle_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 217, in handle_request
    with map_httpcore_exceptions():
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\contextlib.py", line 153, in __exit__
    self.gen.throw(typ, value, traceback)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 77, in map_httpcore_exceptions
    raise mapped_exc(message) from exc
httpx.ConnectError: [Errno 11001] getaddrinfo failed
ERROR 2025-11-16 01:09:01,975 basehttp "POST /api/events/ HTTP/1.1" 500 281341
INFO 2025-11-16 01:09:07,012 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 450
INFO 2025-11-16 01:09:07,019 basehttp "GET /api/departments/ HTTP/1.1" 200 906
INFO 2025-11-16 01:09:07,019 basehttp "GET /api/cities/ HTTP/1.1" 200 1380
INFO 2025-11-16 01:09:07,082 basehttp "GET /api/ticket-types/ HTTP/1.1" 200 450
INFO 2025-11-16 01:09:07,090 basehttp "GET /api/departments/ HTTP/1.1" 200 906
INFO 2025-11-16 01:09:07,100 basehttp "GET /api/cities/ HTTP/1.1" 200 1380
ERROR 2025-11-16 01:09:47,312 log Internal Server Error: /api/events/
Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_exceptions.py", line 10, in map_exceptions
    yield
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_backends\sync.py", line 100, in connect_tcp
    sock = socket.create_connection(
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\socket.py", line 824, in create_connection
    for res in getaddrinfo(host, port, 0, SOCK_STREAM):
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\socket.py", line 955, in getaddrinfo
    for res in _socket.getaddrinfo(host, port, family, type, proto, flags):
socket.gaierror: [Errno 11001] getaddrinfo failed

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 60, in map_httpcore_exceptions
    yield
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 218, in handle_request
    resp = self._pool.handle_request(req)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection_pool.py", line 262, in handle_request
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection_pool.py", line 245, in handle_request
    response = connection.handle_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 92, in handle_request
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 69, in handle_request
    stream = self._connect(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 117, in _connect
    stream = self._network_backend.connect_tcp(**kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_backends\sync.py", line 99, in connect_tcp
    with map_exceptions(exc_map):
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\contextlib.py", line 153, in __exit__
    self.gen.throw(typ, value, traceback)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_exceptions.py", line 14, in map_exceptions
    raise to_exc(exc) from exc
httpcore.ConnectError: [Errno 11001] getaddrinfo failed

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\viewsets.py", line 125, in view
    return self.dispatch(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 515, in dispatch
    response = self.handle_exception(exc)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 475, in handle_exception
    self.raise_uncaught_exception(exc)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 486, in raise_uncaught_exception
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\views\events.py", line 157, in create
    response = super().create(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\mixins.py", line 19, in create
    self.perform_create(serializer)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\mixins.py", line 24, in perform_create
    serializer.save()
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\serializers.py", line 210, in save
    self.instance = self.create(validated_data)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\serializers.py", line 292, in create
    validated_data["image"] = upload_image_to_supabase(image_file, image_file.name)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\supabase_service.py", line 18, in upload_image_to_supabase
    res = supabase.storage.from_(SUPABASE_BUCKET).upload(file_name, file_obj.read())
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\storage3\_sync\file_api.py", line 398, in upload
    return self._request(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\storage3\_sync\file_api.py", line 42, in _request
    response = self._client.request(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 814, in request
    return self.send(request, auth=auth, follow_redirects=follow_redirects)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 901, in send
    response = self._send_handling_auth(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 929, in _send_handling_auth
    response = self._send_handling_redirects(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 966, in _send_handling_redirects
    response = self._send_single_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_client.py", line 1002, in _send_single_request
    response = transport.handle_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 217, in handle_request
    with map_httpcore_exceptions():
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\contextlib.py", line 153, in __exit__
    self.gen.throw(typ, value, traceback)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 77, in map_httpcore_exceptions
    raise mapped_exc(message) from exc
httpx.ConnectError: [Errno 11001] getaddrinfo failed
ERROR 2025-11-16 01:09:47,316 basehttp "POST /api/events/ HTTP/1.1" 500 281322
INFO 2025-11-16 01:14:14,419 autoreload Watching for file changes with StatReloader
ERROR 2025-11-16 01:15:07,225 log Internal Server Error: /api/events/
Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_exceptions.py", line 10, in map_exceptions
    yield
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_backends\sync.py", line 100, in connect_tcp
    sock = socket.create_connection(
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\socket.py", line 824, in create_connection
    for res in getaddrinfo(host, port, 0, SOCK_STREAM):
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\socket.py", line 955, in getaddrinfo
    for res in _socket.getaddrinfo(host, port, family, type, proto, flags):
socket.gaierror: [Errno 11001] getaddrinfo failed

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 60, in map_httpcore_exceptions
    yield
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpx\_transports\default.py", line 218, in handle_request
    resp = self._pool.handle_request(req)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection_pool.py", line 262, in handle_request
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection_pool.py", line 245, in handle_request
    response = connection.handle_request(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 92, in handle_request
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 69, in handle_request
    stream = self._connect(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_sync\connection.py", line 117, in _connect
    stream = self._network_backend.connect_tcp(**kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_backends\sync.py", line 99, in connect_tcp
    with map_exceptions(exc_map):
  File "C:\Users\juanc\AppData\Local\Programs\Python\Python310\lib\contextlib.py", line 153, in __exit__
    self.gen.throw(typ, value, traceback)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\httpcore\_exceptions.py", line 14, in map_exceptions
    raise to_exc(exc) from exc
httpcore.ConnectError: [Errno 11001] getaddrinfo failed

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\viewsets.py", line 125, in view
    return self.dispatch(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 515, in dispatch
    response = self.handle_exception(exc)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 475, in handle_exception
    self.raise_uncaught_exception(exc)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 486, in raise_uncaught_exception
    raise exc
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\views\events.py", line 157, in create
    response = super().create(request, *args, **kwargs)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\mixins.py", line 19, in create
    self.perform_create(serializer)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\mixins.py", line 24, in perform_create
    serializer.save()
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\rest_framework\serializers.py", line 210, in save
    self.instance = self.create(validated_data)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\serializers.py", line 292, in create
    validated_data["image"] = upload_image_to_supabase(image_file, image_file.name)
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\eventos\supabase_service.py", line 18, in upload_image_to_supabase
    res = supabase.storage.from_(SUPABASE_BUCKET).upload(file_name, file_obj.read())
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\storage3\_sync\file_api.py", line 398, in upload
    return self._request(
  File "C:\Users\juanc\Documents\GestiFy\Gestify-backend\venv\lib\site-packages\storage3\_sync\file_api.py", line 42, in _request
    response = self._client.request(
